date,side,entry,exit,sl,tp,qty,pred_rr,actual_rr,pnl,bal,hit_sl,hit_tp
2025-01-02,long,95462,97668.63448039029,94124,97668.63448039029,0.075,1.6492036475263703,1.5914665370688594,159.70366699486004,10159.70366699486,False,True
2025-01-03,long,97252,98075.0,96523,98992.93420024199,0.139,2.388112757533587,1.021768449931413,103.5368188,10263.240485794859,False,False
2025-01-04,long,98228,97695.0,97695,99882.6934397605,0.193,3.1044905061172567,-1.1470341463414635,-117.9942556,10145.246230194858,True,False
2025-01-05,long,98342,97963.0,97963,99580.8400185768,0.268,3.2687071730258523,-1.2071820580474935,-122.615896,10022.630334194859,True,False
2025-01-06,long,99218,101153.87677391866,97878,101153.87677391866,0.075,1.444684159640787,1.3848716591112622,139.17960174068185,10161.80993593554,False,True
2025-01-10,long,93735,92422.0,92422,95944.8743846282,0.077,1.6830726463276429,-1.0567119573495811,-106.8346356,10054.97530033554,True,False
2025-01-11,long,94665,94027.0,94027,97097.40650421446,0.158,3.8125493796464967,-1.1183021943573668,-112.7293344,9942.245965935539,True,False
2025-01-12,long,94606,94194.0,94194,95358.2278844111,0.241,1.8257958359492807,-1.1833009708737865,-117.49232,9824.75364593554,True,False
2025-01-14,long,95338,97175.09085261806,94297,97175.09085261806,0.094,1.7647366499693165,1.6907642807656198,165.44804793003897,9990.201693865578,False,True
2025-01-15,long,97481,98693.9490469378,96429,98693.9490469378,0.095,1.152993390625285,1.078402155246228,107.77551139530803,10097.977205260886,False,True
2025-01-17,long,102063,104042.0,99885,107875.16722164009,0.046,2.668579991570292,0.8707796143250688,87.24166799999999,10185.218873260887,False,False
2025-01-18,long,104656,104370.0,102988,108619.71884767889,0.061,2.3763302444118,-0.22158896882494,-22.546234399999996,10162.672638860886,False,False
2025-01-19,long,105274,103844.0,103844,106822.76850948259,0.071,1.0830549017360767,-1.0584945454545456,-107.46895119999999,10055.203687660885,True,False
2025-01-20,long,102175,106510.41633287983,99425,106510.41633287983,0.037,1.5765150301381226,1.5461607877624288,157.32186015482714,10212.525547815712,False,True
2025-01-21,long,103169,106252.06571610413,100036,106252.06571610413,0.033,0.9840618308663021,0.9573243823229138,98.97681056398375,10311.502358379696,False,True
2025-01-23,long,104022,103887.0,102011,109571.18531367654,0.051,2.7594158695557174,-0.1084851317752362,-11.126343599999998,10300.376014779695,False,False
2025-01-24,long,104261,105733.54271923978,102718,105733.54271923978,0.067,0.9543374719635639,0.899899482924226,93.0325084441894,10393.408523223885,False,True
2025-01-25,long,105213,104668.0,104284,105764.34593556316,0.112,0.5934832460313993,-0.6770208826695372,-70.4426688,10322.965854423885,False,False
2025-01-26,long,105165,104441.0,104441,107279.18501890068,0.143,2.920145053730221,-1.1158044198895027,-115.5214632,10207.444391223884,True,False
2025-01-28,long,102873,101275.0,101275,104600.64968304659,0.064,1.081132467488484,-1.0511008760951188,-107.49818880000001,10099.946202423884,True,False
2025-01-29,long,102279,104414.28984394005,101238,104414.28984394005,0.097,2.051191012430404,1.9717699596565506,199.1034152162395,10299.049617640123,False,True
2025-01-30,long,105307,104703.0,103264,106722.49266491288,0.05,0.6928500562471266,-0.33676162506118457,-34.400200000000005,10264.649417640123,False,False
2025-01-31,long,105099,103875.0,103875,108198.62413756907,0.084,2.5323726614126465,-1.068292156862745,-109.8375264,10154.811891240122,True,False
2025-02-03,long,97719,101417.0,91451,113248.78437386111,0.016,2.4776299256319585,0.5772727504786216,57.8935296,10212.705420840122,False,False
2025-02-05,long,99013,97101.0,97101,103220.19878730124,0.053,2.20041777578517,-1.0410280334728033,-105.4936168,10107.211804040122,True,False
2025-02-06,long,97598,99069.59555858708,96366,99069.59555858708,0.082,1.1944769144375644,1.130623798996468,114.22013866981918,10221.431942709942,False,True
2025-02-07,long,97796,99575.36787226675,96375,99575.36787226675,0.072,1.2521941395262206,1.1966356967754024,122.43019140848497,10343.862134118426,False,True
2025-02-10,long,97128,97407.0,95234,98561.88963556563,0.055,0.7570695013546068,0.10622280887011615,11.06523,10354.927364118426,False,False
2025-02-11,long,98122,97404.0,97404,99945.13639465129,0.144,2.5391871791800638,-1.1089281337047354,-114.65429759999999,10240.273066518426,True,False
2025-02-12,long,96197,95033.0,95033,99729.23355854629,0.088,3.034564912840456,-1.0657147766323025,-109.16329599999999,10131.109770518426,True,False
2025-02-14,long,97198,96355.0,96355,98519.95082291885,0.12,1.5681504423711115,-1.0918400948991696,-110.450544,10020.659226518426,True,False
2025-02-17,long,96604,96013.0,96013,97652.6326234542,0.17,1.7743360802947714,-1.1303668358714043,-113.56795600000001,9907.091270518426,True,False
2025-02-18,long,96333,95498.0,95498,98751.97940310412,0.119,2.8969813210827833,-1.0918950898203592,-108.4961556,9798.595114918426,True,False
2025-02-19,long,95862,96566.0,94938,97809.46175716791,0.106,2.1076425943375643,0.6786025974025973,66.4650528,9865.060167718426,False,False
2025-02-20,long,97320,98568.03238520659,96339,98568.03238520659,0.101,1.2722042662656332,1.1923314701860444,118.13739439750347,9983.197562115929,False,True
2025-02-21,long,98502,98055.0,98055,100134.76513301869,0.223,3.6527184183863226,-1.175889932885906,-117.2138844,9865.983677715929,True,False
2025-02-22,long,96416,96517.0,95708,98397.49123589313,0.139,2.798716434877312,0.03365367231638419,3.311925200000001,9869.295602915929,False,False
2025-02-27,long,85251,86491.28523179099,83856,86491.28523179099,0.071,0.8890933561225671,0.8398482564145299,83.1827705565771,9952.478373472506,False,True
2025-02-28,long,84839,84233.0,79444,96620.93606444562,0.018,2.1838621064774086,-0.12486168674698794,-12.1253184,9940.353055072506,False,False
2025-03-01,long,85696,85959.0,83707,87824.00539192105,0.05,1.0698870748723246,0.09770638511814983,9.7169,9950.069955072506,False,False
2025-03-02,long,87009,92567.12738781134,85543,92567.12738781134,0.068,3.7913556533501658,3.7423580742539,373.0681917062228,10323.138146778729,False,True
2025-03-04,long,86739,87215.0,82361,96986.15919356093,0.024,2.340602830872758,0.09283197807217906,9.754041599999999,10332.892188378728,False,False
2025-03-05,long,87836,90581.0,86335,92200.89340143422,0.069,2.9079902741067474,1.7812346435709527,184.48069080000002,10517.372879178727,False,False
2025-03-06,long,92173,89959.0,89959,93587.72001811072,0.048,0.6389882647293245,-1.0329055103884373,-109.7689344,10407.603944778728,True,False
2025-03-10,long,82852,80015.0,80015,89528.77499565562,0.037,2.3534631637841477,-1.02296327106098,-107.37943159999999,10300.224513178728,True,False
2025-03-11,long,79839,82872.0,76574,84336.07664454517,0.032,1.3773588497841251,0.909009372128637,94.9732992,10395.197812378728,False,False
2025-03-12,long,84061,82049.0,82049,89442.51162234612,0.052,2.674707565778391,-1.033023856858847,-108.079088,10287.118724378728,True,False
2025-03-14,long,82303,84665.30692797205,80722,84665.30692797205,0.065,1.4941852801847293,1.4519415592668328,149.20877433805606,10436.327498716784,False,True
2025-03-16,long,84342,83681.0,83681,85519.6926793071,0.158,1.7816833272422146,-1.1016780635400907,-115.0570536,10321.270445116785,True,False
2025-03-17,long,83689,82477.0,82477,85749.8668663332,0.085,1.7003852032452225,-1.0548402640264025,-108.669644,10212.600801116785,True,False
2025-03-19,long,83195,86375.90358885018,82510,86375.90358885018,0.149,4.643654874233849,4.544635368488528,463.8482088847816,10676.449010001566,False,True
2025-03-22,long,84244,83893.0,83893,84676.7588742923,0.304,1.232931265790016,-1.1916091168091167,-127.1494592,10549.299550801567,True,False
2025-03-23,long,84222,84975.01927171634,83740,84975.01927171634,0.219,1.5622806467144175,1.4218681825885018,150.08956161767708,10699.389112419243,False,True
2025-03-24,long,86647,88689.46135064328,85500,88689.46135064328,0.093,1.7806986492094878,1.7195525423740388,183.42638924758108,10882.815501666824,False,True
2025-03-25,long,87687,87400.0,86314,91249.37644993293,0.079,2.5945931900458263,-0.2600399126001457,-28.205749200000003,10854.609752466824,False,False
2025-03-26,long,87896,87025.0,87025,90033.63944403314,0.125,2.4542358714502095,-1.080331113662457,-117.62105,10736.988702466824,True,False
2025-03-30,long,83433,82404.0,82404,84280.80586177652,0.104,0.8239124021151766,-1.064465306122449,-113.9148192,10623.073883266825,True,False
2025-03-31,long,82488,82518.0,81261,85537.26248380152,0.087,2.4851364986157383,-0.02934180929095355,-3.1322088000000003,10619.941674466825,False,False
2025-04-01,long,83234,85153.0,82389,85684.37641782893,0.126,2.8998537489099663,2.191296094674556,233.3072952,10853.248969666825,False,False
2025-04-02,long,85353,84507.0,84507,88628.28084881286,0.128,3.8714903650270185,-1.0803120567375886,-116.984832,10736.264137666825,True,False
2025-04-04,long,83398,82556.0,82556,85777.64358506766,0.128,2.8261800297715785,-1.0788380047505939,-116.2728448,10619.991292866825,True,False
2025-04-07,long,79404,79121.0,77252,85092.98848636953,0.049,2.643582010394767,-0.16097118959107806,-16.97409,10603.017202866826,False,False
2025-04-09,long,76770,82578.0,74553,83613.8471394481,0.048,3.0869856289797455,2.591006224627875,275.72451839999997,10878.741721266826,False,False
